"question","answer"
"¿De que se trata?","Club Premium es un club de descuentos que te ofrece beneficios cada vez que realizas una compra con nuestra tarjeta física o virtual en los comercios afiliados, podrás obtener descuentos, reembolsos o precio preferencial en entradas y combos del cine."
"No me interesa, muchas gracias","Permiteme darte más información para que veas como Club Premium puede darte mucho más de lo que ningún otro Club te ofrece en ahorros reales, de manera muy sencilla y sin gastar en algo que no está dentro de tu presupuesto hoy"
"Ahora no tengo tiempo podrás por favor contactarme mas tarde","Claro con gusto, ¿En que horario deseas que te contactemos?"
"No recuerdo haber dejado mis datos","Tal vez no lo recuerdas, pero seguramente viste en Facebook una publicación de (Cine) y dejaste tus datos para más información de los beneficos de nuestro club de descuentos"
"No recuerdo que es Club premium","No te preocupes, te doy más información del club con gusto"
"No estoy interesado","Permiteme darte más información para que veas como Club Premium puede darte mucho más de lo que ningún otro Club te ofrece en ahorros reales, de manera muy sencilla y sin gastar en algo que no está dentro de tu presupuesto hoy"
"No, muchas gracias","Permiteme darte más información para que veas como Club Premium puede darte mucho más de lo que ningún otro Club te ofrece en ahorros reales, de manera muy sencilla y sin gastar en algo que no está dentro de tu presupuesto hoy"
"¿Te gustaría obtener 10% de descuento en el pago mensual de tu membresía de Netflix?","Súper por que con Club Premium es completamente posible"
"No estoy interesado","¿Me permites contarte más de todo lo que nuestro Club de descuentos te ofrece?"
"¿Te gustaría ahorra $500 o más en tus gastos mensuales?","¿Me permites contarte más de todo lo que nuestro Club de descuentos te ofrece?"
"¿Te gustaría comprar boletos de entrada al Cine por solo $39?","¿Ya sabías que Club Premium tiene más de 100 comercios en los que puedes obtener beneficios?"
"No","Esto que te mencioné es solo uno de los muchísimos beneficios que el Club tiene para ti, si me pernmites con gusto te doy más información"
"Quiero más información","Club Premium es un club de descuentos que te ofrece beneficios cada vez que realizas una compra con nuestra tarjeta física o virtual en los comercios afiliados, podrás obtener descuentos, reembolsos o precio preferencial en entradas y combos del cine."
"¿Es una tarjeta de crédito o débito?","Nuestra tarjeta esta registrada como tarjeta de crédito sin embargo en este caso solo la estarías utilizando para hacer válidos los descuentos del club, esto no te genera ninguna comisión, ni intereses."
"¿Cómo funciona el Club?","Para obtener los beneficios debes ""recargar saldo"" a tu membresía y pagar con la tarjeta física o virtual en los comercios participantes para que obtengas los beneficios."
